1J	1. Janova	1jan	1 J / I J / 1 Jan / I Jan / 1 Janova / I Janova
1Kor	1. Korintským	1kor	1 K / I K / 1 Kor / I Kor / 1 Korint / I Korint / 1 Korintskym / I Korintskym
1Kr	1. Královská	kra1	1 Kr / I Kr / 1 Kral / I Kral / 1 Král / I Kral / 1 Kralovska / I Kralovska
1Mak	1. Makabejských	1makabejska	1 Mak / I Mak / 1 Makab / I Makab / 1 Makabejska / I Makabejska / 1 Makabejskych / I Makabejskych / 1 Mk
1Pa	1. Paralipomenon	1let	1 Pa / I Pa / 1 Par / I Par / 1 Paralipomenon / I Paralipomenon / 1 Paral / I Paral
1Pt	1. Petrova	1pet	1 Pt / I Pt / 1 P / I P / 1 Petr / I Petr / 1 Petrova / I Petrova
1S	1. Samuelova	sam1	1 S / I S / 1 Sam / I Sam / 1 Samuelova / I Samuelova / 1 Sm / I Sm / 1 Samuel / I Samuel
1Te	1. Tesalonickým	1tes	1 Te / I Te / 1 T / I T / 1 Tes / I Tes / 1 Tesal / I Tesal / 1 Tesalon / I Tesalon / 1 Tesalonickym / I Tesalonickym
1Tm	1. Timoteovi	1tim	1 Tm / I Tm / 1 Tim / I Tim / 1 Timot / I Timot / 1 Timoteovi / I Timoteovi / 1 Timoteova / I Timoteova
2J	2. Janova	2jan	2 J / II J / 2 Jan / II Jan / 2 Janova / II Janova
2Kor	2. Korintským	2kor	2 K / II K / 2 Kor / II Kor / 2 Korint / II Korint / 2 Korintskym / II Korintskym
2Kr	2. Královská	kra2	2 Kr / II Kr / 2 Kral / II Kral / 2 Král / II Kral / 2 Kralovska / II Kralovska
2Mak	2. Makabejských	2makabejska	2 Mak / II Mak / 2 Makab / II Makab / 2 Makabejska / II Makabejska / 2 Makabejskych / II Makabejskych / 2 Mk
2Pa	2. Paralipomenon	2let	2 Pa / II Pa / 2 Par / II Par / 2 Paralipomenon / II Paralipomenon / 2 Paral / II Paral
2Pt	2. Petrova	2pet	2 Pt / II Pt / 2 P / II P / 2 Petr / II Petr / 2 Petrova / II Petrova
2S	2. Samuelova	sam2	2 S / II S / 2 Sam / II Sam / II Samuelova / 2 Samuelova / 2 Sm / II Sm / 2 Samuel / II Samuel
2Te	2. Tesalonickým	2tes	2 Te / II Te / 2 T / II T / 2 Tes / II Tes / 2 Tesal / II Tesal / 2 Tesalon / II Tesalon / 2 Tesalonickym / II Tesalonickym
2Tm	2. Timoteovi	2tim	2 Tm / II Tm / 2 Tim / II Tim / 2 Timot / II Timot / 2 Timoteovi / II Timoteovi / 2 Timoteova / II Timoteova
3Ezd	3. Ezdrášova		3 Ezd / III Ezd / 3 Ez / 3 Ezdras / III Ezdras / 3 Ezdrasova / III Ezdrasova
3J	3. Janova	3jan	3 J / III J / 3 Jan / III Jan / 3 Janova / III Janova
3Mak	3. Makabejských		3 Mak / III Mak / 3 Makab / III Makab / 3 Makabejska / III Makabejska / 3 Makabejskych / III Makabejskych / 3 Mk
4Ezd	4. Ezdrášova		4 Ezd / IV Ezd / 4 Ez / 4 Ezdras / IV Ezdras / 4 Ezdrasova / IV Ezdrasova
4Mak	4. Makabejských		4 Mak / IV Mak / 4 Makab / IV Makab / 4 Makabejska / IV Makabejska / 4 Makabejskych / 4 Makabejskych / 4 Mk
Ab	Abakuk	aba	Abk / Abak
Abd	Abdijáš	abd	Abdijas / Abdias
Ag	Ageus	age	Ageus / Hag / Hageus / Hg
Am	Ámos	amo	Ámos / Amos
Bár	Báruk	baruch	Bar / Báruk / Baruk / Baruch
DEs	Dodatky k Ester	dtk_ester	
Dn	Daniel	dan	Da / Dan
Dt	Deuteronomium	deu	Dtn / Deut / 5M / V M / 5 Moj / V Moj / Deuter / Deuteron / 5 Mojzisova / 5 Mojz / V Mojzisova / V Mojz
Ef	Efezským	efe	Efes / Efez / Efezskym / Efezkym / Efeskym
Est	Ester	est	Es
Ex	Exodus	exo	Exo / 2M / II M / 2 Moj / II Moj / Exod / 2 Mojzisova / 2 Mojz / II Mojzisova / II Mojz
Ez	Ezechiel	eze	Ezech / Eze
Ezd	Ezdráš	ezd	Ezdr / Ezdras
Fm	Filemonovi	filemon	Filem / Filemon / Filemonova
Fp	Filipským	filipskym	F / Filip / Filipskym
Ga	Galatským	gal	Gal / Galat / Galatskym / Gl
Gn	Genesis	gen	Gen / 1M / I M / 1 Moj / I Moj / 1 Mojzisova / 1 Mojz / I Mojz / I Mojzisova
Iz	Izajáš	iz	Iza / Izaj / Izaias / Izajas / Izaijas
J	Jan	jan	Jan
Jb	Jób	job	Job / Jób
Jk	Jakub	jak	Jak / Jakub / Jakubova / Jkb
Jl	Jóel	joe	Jo / Jóel / Joel
Jon	Jonáš	jon	Jonáš / Jonas
Joz	Jozue	joz	Jz
Jr	Jeremjáš	jer	Jer / Jerem / Jeremias / Jeremjas / Jeremijas
Ju	Juda	jud	Juda / Jd
Júd	Júdit	judita	Jud / Júdit / Judit / Jdt
Kaz	Kazatel	kaz	Ka / Kz / Kazat
Ko	Koloským	kol	Kol / Kolos / Koloskym / Kolosskym / Kl
L	Lukáš	luk	Lk / Luk / Lukas
Lv	Leviticus	lev	Lev / 3M / III M / 3 Moj / III Moj / 3 Mojzisova / 3 Mojz / III Mojzisova / III Mojz
Mal	Malachjáš	mal	Ma / Malach / Malachjas / Malachias / Malachijas
Mi	Micheáš	mic	Mich / Micheas
Mk	Marek	mar	Marek / Mar
Mt	Matouš	mat	Mat / Matous
Na	Nahum	nah	Nah / Nahum
Neh	Nehemjáš	neh	Ne / Nehemjas / Nehemias / Nehemijas
Nu	Numeri	num	Num / 4M / IV M / 4 Moj / IV Moj / Numer / 4 Mojzisova / 4 Mojz / IV Mojzisova / IV Mojz
Oz	Ozeáš	oze	Oze / Ozeas
PDa	Přídavky k Danielovi	pridavky_k_danielovi	
Pl	Pláč	pla	Pláč / Plac
Pís	Píseň Písní	pis	Pis / Pisen / pisen pisni
Př	Přísloví	pri	Pr / Přísl / Prisl / Pri / Prislov / Prislovi
Rt	Rút	rut	Rut / Rút
Sap	Moudrost Šalamounova	moudrost_salomounova	Mdr / Moud / Moudr / Moudrost
Sd	Soudců	sou	Sdc / Sou / Soud / Soudc / Soudcu
Sf	Sofonjáš	sof	Sof / Sofon / Sofonjas / Sofonias / Sofonijas
Sk	Skutky	sku	Skut / Skutk / Akt
Sír	Sírach	sirachovec	Sir / Eccl / Ecc / Sirach / Sirachovec
Tt	Titovi	tit	Tit / Titova
Tób	Tóbit	tobias	Tob / Tóbit / Tobit / Tb
Za	Zacharjáš	zac	Zach / Zachar / Zacharjas / Zacharias / Zacharijas / Zch
Zj	Zjevení	zje	Zjev / Apok / Zjv / Zjeveni
Ř	Římanům	rim	R / Řím / Rim / Riman / Rimanum
Ž	Žalmy	zal	Z / Žalm / Zalm / Žalmy / Zalmy / Zl / Zlm
Žd	Židům	zid	Zd / Zid / Zidum / Heb
